Fox Pat C,Fox's Patent# Trade mark# Design and Copyright Cases,Can, 1940-1 971
FPR,Fisheries Pollution Reports ,Can, 1980?
F Supp,Federal Supplement ,US? E-U, 1933-1 998
F Supp (2d),Federal Supplement (Second Series) ,US? E-U, 1998-
FTLR,Financial Times Law Reports ,UK? R-U, 1981-
FTLR,Free Trade Law Reports ,Can, 1989-1991
FTR,Federal Trial Reports ,Can, 1986-
FTU,Free Trade Update ,Can, 1990-1996
Gaz LR,Gazette Law Reports ,NZ / N-Z, 1898-1952
Gaz Pal,Gazette du Palais ,France, 1886-
Ghana LR,Ghana Law Reports (West Africa) ,WAfr, 1959-1 966# 1971-1978
Giff,Giffard's Reports (ER vols 65-66) ,UK? R-U, 1858-1 865
Gilb Cas,Gilbert's Cases in Law & Equity (ER vol 93) ,UK? R-U, 1713-1715
Gilb Rep,Gilbert's Reports# Chancery (ER vol 25) ,UK? R-U, 1705-1727
GLR,Gazette Law Reports ,NZ / N-Z, 1898-1953
Godbolt,Godbolt's Reports (ER vol 78) ,UK? R-U, 1575-1638
Gould,Gouldsborough's Reports (ER vol 75) ,UK? R-U, 1586-1602
Gow,Gow's Reports (ER vol 171) ,UK? R-U, 1818-1 820
Gr / UC Ch,Grant's Upper Canada Chancery Reports ,Can (ON), 1849-1882
Greg R,Gregorowski's Reports (Orange Free State),SAfrdu sud,1883-1887
Griq WR,Griqualand West Reports (Cape of Good Hope),SAfrdu sud,1882-19 10
GSTR,Canadian Goods and Services Tax Reporter/ Reports / Monitor,Can,1989-
GTC,Canadian GST & Commodity Tax Cases, Can, 1993-
H&C,Hurlstone & Coitman's Reports (ER vols 158- 159), UK!R-U, 1862-1866
H&M,Hemming & Miller's Reports (ER vol 71),UK!R-U,1862-1865
H&N,Hurlstone & Norman's Reports (ER vols 156- 158),UK!R-U,1856-1862
H & Tw,Hall & Twells' Reports (ER vol 47),UK!R-U,1849-1850
H&W,Haszard & Warburton's Reports,Can (PEI),1850-1882
Hag Adm,Haggard's Admiralty Reports (ER vol 166),UK! R-U, 1822-1838
Hag Con,Haggard's Consistory Reports (ER vol 161),UK! R-U, 1752-1 821
Hag Ecc,Haggard's Ecclesiastical Reports (ER vol 162),UK! R-U,1827-1833
Hague Ct Rep,Hague Court Reports (1916),Int'l, 1899-19 15
Hague Ct Rep (2d),Hague Court Reports (Second Series) (1932),Int'l,19 16-1925
Hardr,Hardres' Reports (ER vol 145),UK!R-U, 1655-1669
Hare,Hare's Reports (ER vols 66-68),UK!R-U, 184 1-1853
Harr & Hodg,Harrison and Hodgins Municipal Report,Can (ON),1845-1851
Hay & M,Hay & Marriott's Reports (ER vol 165),UK/R-U, 1776-1 779
Her Tr Nor,Heresy Trials in the Diocese of Norwich,UK!R-U,1428-143 1
Het,Hetley's Reports (ER vol 124),UK!R-U,1627-1632
HL Cas,Clark's House of Lords Cases (ER vols 9-11),UK! R-U, 1847-1866
HL Cas,House of Lords Cases,UK! R-U,1847-1866
Hob,Hobart's Reports (ER vol 80),UK! R-U,1603-1 625
Hodg,Hodgins Election Cases,Can (ON), 1871-1 878
Hodges,Hodges' Reports,UK! R-U,1835-1837
Holt,Holt's Reports (ER vol 171),UK!RU, 18 15-1817
Holt# Eq,Holt's Equity Reports (ER vol 71),UK!R-U,1845
HoIt# KB,Holt's King's Bench Cases (ER vol 90),UK! R-U,1688-17 11
Hut,Hutton's Reports (ER vol 123),UK! R-U, 16 12-1639
IAA,Industrial Arbitration Awards,NZ! N-Z,1901-
AR,Industrial Arbitration Reports,Austl (NSW),1902-
IBDD,Instruments de base et documents divers,GATT,1952-
ICC,Indian Claims Commission Decisions,US / E-U, 1948-1978
I Ch R,Irish Chancery Reports,I,1852-1867
ICJ Pleadings,International Court of Justice: Pleadings# Oral Arguments# Documents,Int'l,1946-
ICJ Rep,International Court of Justice: Reports of Judgments# Advisory Opinions and Orders,Int'l, 1946-
ICLR,Irish Common Law Reports,I,1852-1867
ICR,Industrial Cases Reports,UK! R-U,1972-
ICR,Industrial Court Reports,UK! R-U, 1972-1 974
ICSID,International Centre for Settlement of Investment Disputes (World Bank),Int'l, 1966-
ILR,Canadian Insurance Law Reporter,Can,195 1-
ILR,Insurance Law Reporter,Can,1934-1950
I LR,International Law Reports,Int'l, 1950-
I LR,Irish Law Reports,I, 1838-1850
ILRM,Irish Law Reports Monthly,I, 1981-
ILTR,Irish Law Times Reports,I,1867-
IMA,Institute of Municipal Assessors of Ontario# Court Decisions,Can (ON), 1974-1986
Imm ABD,Immigration Appeal Board Decisions,Can,1977-1 988
Imm AC,Immigration Appeal Cases,Can,1968-1 970
Imm AC (2d),Immigration Appeal Cases (Second Series),Can,1969-1977
Imm LR,Immigration Law Reporter,Can,1985-1987
Imm LR (2d),Immigration Law Reporter (Second Series),Can,1987-1999
Imm LR (3d),Immigration Law Reporter (Third Series),Can,1999-
Inter-Am Ct HR (SerA),SeriesA: Judgments and Opinions,Int'l,1982-
Inter-Am Ct HR (Ser B),Series B: Pleadings# Oral Arguments and Documents,Int'l,1983-
Inter-Am Ct HR (Ser C),Series C: Decisions and Judgments,Int'l,1987-
IR,Irish Law Reports,I,1892-
IR Eq,Irish Reports# Equity Series,I,1867-1878
I RCL,Irish Reports# Common Law Series,I, 1867-1878
InfoCRTC,Broadcasting decisions# public notices and policy statements/ Decisions# avis publics et énoncés de politique sur la radiodiffusion,Can,1995-1 998
J&H,Johnson & Hemming's Reports (ER vol 70),UK! R-U,1860-1862
Jac,Jacob's Reports (ER vol 37),UK! R-U, 182 1-1822
Jac & W,Jacob & Walker's Reports (ER vol 37),UK! R-U,1819-1 821
JCA,Judgments Under the Competition Act,Can,1984-
JCAP,Judgments Under the Competition Act and its Predecessors,Can,1904-
J-cl Admin,Juris-classeur Administratif, France,1907 - 
J-c1 BC,Juris-classeur Banque et credit,France,1907 - 
J-cl Brev,Juris-classeur Brevets d'invention,France,1907 - 
J-cl C-C,Juris-classeur Concurrence-consommation,France,1907 - 
J-cl C-D,Juris-classeur Contrats-distribution,France,1907 - 
J-ci Civ,Juris-classeur Civil,France,1907 - 
J-cl Civ Annexe,Juris-classeur Civil annexe,France,1907 - 
J-0l Coil terr,Juris-ciasseur Coliectivites territoriales,France,1907 - 
J-cI Corn gén,Juris-classeur Commercial general,France,1907 - 
J-cl Constr,Juris-classeur Construction,France,1907 - 
J-cl Coprop,Juris-classeur Copropriete,France,1907 - 
J-ci Div,Juris-classeur Divorce,France,1907 - 
J-cI Dr comp,Juris-ciasseur Droit compare,France,1907 - 
J-cl Dr de renfant,Juris-classeur Droit de l'enfant,France,1907 - 
J-cl Dr Intl,Juris-classeur Droit International,France,1907 - 
J-cl Env,Juris-classeur Environnement,France,1907 -
J-cl Eur,Juris-classeur Europe,France,1907 -
J-cI F corn,Juris-classeur Fonds de commerce,France,1907 -
J-ci Fisc,Juris-classeur Fiscal,France,1907 -
J-cl Fisc mm,Juris-classeur Fiscalité immobiliere,France,1907 -
J-cI Fisc intl,Juris-classeur Fiscal international,France,1907 -
J-ci Foncier,Juris-classeur Fonder,France,1907 -
J-cl Irnpot,Juris-classeur. lmpôt sur a fortune,France,1907 -
J-cl MDM,Juris-classeur Marques# dessins et modeles,France,1907 -
J-ci Not Form,Juris-ciasseur Notarial formulaire,France,1907 -
J-cl Pen,Juris-dlasseur Penal,France,1907 -
J-ci Proc,Juris-classeur Procedure,France,1907 -
J-ci Proc coil,Juris-classeur Procedures collectives,France,1907 -
J-cl Proc fisc,Juris-classeur Procedures fiscales,France,1907 -
J-cl Proc pen,Juris-classeur Procedure pénale,France,1907 -
J-ci Prop litt art,Juris-classeur Propriete litteraire et artistique,France,1907 -
J-cl Rep prat Dr priv,Juris-classeur Repertoire pratique de droit prive,France,1907 -
J-cl Resp civ Ass,Juris-classeur Responsabilite civile et Assurances,France,1907 -
J-cl Sec Soc,Juris-classeur Securite sociale,France,1907 -
J-cI Sociétés,Juris-classeur Societes,France,1907 -
J-cl Tray,Juris-classeu Travail,France,1907 - 
 JCP,Semaine Juridique,France,1937-
JE,Jurisprudence Express,Can (QC), 1977-
 Jenk,Jenkins's Reports (ER vol 145), UK!R-U,1220-1623
JL,Jurisprudence logement Recueil trimestriel de jurisprudence sur le bail d'habitation comprenant des decisions de Ia Regie du logement et des tribunaux judiciaires en matière de logement, Can (QC),1993-
JL,Jurisprudence Logement,Can (QC),1982-
